time	V(out)
Step Information: Cx=10f  (Run: 1/11)
2.769825211279057e-004	2.982249e+000
2.770662497242983e-004	2.980836e+000
2.771470792718262e-004	2.979472e+000
2.772359454412054e-004	2.977978e+000
2.774123246844439e-004	2.975114e+000
2.774904304457018e-004	2.974081e+000
2.775572675250473e-004	2.973572e+000
2.776116660978180e-004	2.973526e+000
2.776552606014474e-004	2.973825e+000
2.776953861688010e-004	2.974415e+000
2.777353048769073e-004	2.975277e+000
2.777784668325406e-004	2.976397e+000
2.778051227596483e-004	2.977113e+000
2.778336930067901e-004	2.977813e+000
2.778715423252208e-004	2.978560e+000
2.779117257522627e-004	2.979118e+000
2.779523964367676e-004	2.979456e+000
2.779842540456344e-004	2.979594e+000
2.779992748035766e-004	2.979625e+000
2.780205644603996e-004	2.979637e+000
2.780406089466442e-004	2.979630e+000
2.780683875891727e-004	2.979607e+000
2.781116072080841e-004	2.979558e+000
2.781699802281278e-004	2.979504e+000
2.783005385430440e-004	2.979467e+000
2.783989198999799e-004	2.979473e+000
2.790671118998273e-004	2.979487e+000
2.794026321975696e-004	2.979489e+000
2.800736727930541e-004	2.979491e+000
2.812835237817180e-004	2.979496e+000
2.823821183404013e-004	2.979501e+000
2.840474064141894e-004	2.979505e+000
2.852581874385709e-004	2.979508e+000
2.868942102295822e-004	2.979510e+000
2.883328651528741e-004	2.979510e+000
2.890393274307204e-004	2.979510e+000
2.899904004890795e-004	2.979510e+000
2.909165619878650e-004	2.979510e+000
2.920459317846294e-004	2.979509e+000
2.938138639603698e-004	2.979508e+000
2.958460670213563e-004	2.979507e+000
2.987525257899338e-004	2.979504e+000
2.994632161412780e-004	2.979504e+000
2.999315294776679e-004	2.979503e+000
2.999414251460256e-004	2.979503e+000
2.999498764562791e-004	2.979516e+000
2.999545893110975e-004	2.979558e+000
2.999607800230709e-004	2.979671e+000
2.999638200027508e-004	2.979733e+000
2.999679815475731e-004	2.979806e+000
2.999734977934524e-004	2.979885e+000
2.999796026572640e-004	2.979950e+000
2.999860846673912e-004	2.980001e+000
2.999934630826262e-004	2.980040e+000
3.000013363648845e-004	2.980065e+000
3.000105121025304e-004	2.980077e+000
3.000206957905858e-004	2.980074e+000
3.000328647432159e-004	2.980053e+000
3.000469488557250e-004	2.980011e+000
3.000633327928830e-004	2.979949e+000
3.000806650809057e-004	2.979874e+000
3.000966223314897e-004	2.979805e+000
3.001142424633259e-004	2.979736e+000
3.001314108068679e-004	2.979678e+000
3.001921826728587e-004	2.979543e+000
3.002459873027532e-004	2.979493e+000
3.002907804713963e-004	2.979484e+000
3.003391790924971e-004	2.979488e+000
3.004508010184608e-004	2.979505e+000
3.007882831975402e-004	2.979509e+000
3.016552742749451e-004	2.979507e+000
3.022176008160613e-004	2.979506e+000
3.033422538982938e-004	2.979504e+000
3.055915600627586e-004	2.979501e+000
3.095915600627586e-004	2.979498e+000
3.135915600627586e-004	2.979496e+000
3.170775012412123e-004	2.979496e+000
3.208186701213589e-004	2.979496e+000
3.224326005794143e-004	2.979497e+000
3.242710475707721e-004	2.979498e+000
3.262289017719919e-004	2.979499e+000
3.285002765012088e-004	2.979501e+000
3.321818784616775e-004	2.979504e+000
3.361818784616774e-004	2.979508e+000
3.401818784616775e-004	2.979512e+000
3.441818784616775e-004	2.979516e+000
3.481818784616775e-004	2.979520e+000
3.521818784616775e-004	2.979524e+000
3.534047885960432e-004	2.979525e+000
3.538033272905514e-004	2.979549e+000
3.539077789607383e-004	2.979589e+000
3.539427539991011e-004	2.979614e+000
3.540010926095313e-004	2.979648e+000
3.540578942022336e-004	2.979657e+000
3.540897681257012e-004	2.979655e+000
3.541279617101229e-004	2.979650e+000
3.541743688242684e-004	2.979641e+000
3.542277547365907e-004	2.979629e+000
3.542795849124684e-004	2.979618e+000
3.543380545782117e-004	2.979606e+000
3.544102685014608e-004	2.979594e+000
3.545546963479591e-004	2.979575e+000
3.547102882628768e-004	2.979559e+000
3.548647782154777e-004	2.979549e+000
3.550271928638919e-004	2.979543e+000
3.552144752954419e-004	2.979539e+000
3.556524677123925e-004	2.979535e+000
3.569211167393950e-004	2.979534e+000
3.577288947201154e-004	2.979533e+000
